"Nr porządkowy (a)","Nazwa chemiczna (b)","Numer/nazwa wg wykazu barwników zawartego w słowniku (c)","Nr CAS (d)","Nr WE (e)","Kolor (f)","Rodzaj produktu, części ciała (g)","Maksymalne stężenie w preparacie gotowym do użycia (h)","Inne (i)","Brzmienie warunków stosowania i ostrzeżeń (j)"
"31","6-hydroksy-5-[(4-sulfonianofenylo)azo]naftaleno-2- sulfonian disodu i jego nierozpuszczalne laki, sole i pigmenty barowe, strontowe i cyrkonowe","15985",,"220-491-7","Żółty",,,"Wymagana czystość – zgodnie z dyrektywąKomisji 95/45/WE (E 110)",
"32","6-hydroksy-5-[(2-metoksy-4-sulfoniano-m-tolilo)azo]naftaleno-2-sulfonian disodu","16035",,"247-368-0","Czerwony",,,"Wymagana czystość – zgodnie z dyrektywąKomisji 95/45/WE (E 129)",
"33","3-hydroksy-4-[(4'-sulfonianonaftylo)azo]naftaleno-2,7-disulfonian trisodu","16185",,"213-022-2","Czerwony",,,"Wymagana czystość – zgodnie z dyrektywąKomisji 95/45/WE (E 123)",
"34","7-hydroksy-8-(fenyloazo)naftaleno-1,3-disulfonian disodu","16230",,,"Pomarańczowy","Nie stosować w produktach stosowanych na błony śluzowe",,,
"35","1-(1-naftyloazo)-2-hydroksynaftaleno-4',6,8-trisulfonian trisodu i jego nierozpuszczalne laki, sole i pigmenty barowe, strontowe i cyrkonowe","16255",,"220-036-2","Czerwony",,,"Wymagana czystość – zgodnie z dyrektywąKomisji 95/45/WE (E 124)",
"36","7-hydroksy-8-[(4-sulfoniano-1-naftylo)azo]naftaleno-1,3,6-trisulfonian tetrasodu","16290",,,"Czerwony",,,,
"37","5-amino-4-hydroksy-3-(fenyloazo)naftaleno-2,7-disulfonian disodu i jego nierozpuszczalne laki, sole i pigmenty barowe, strontowe i cyrkonowe","17200",,,"Czerwony",,,,
"38","5-acetylamino-4-hydroksy-3-(fenyloazo)naftaleno-2,7-disulfonian disodu","18050",,"223-098-9","Czerwony","Nie stosować w produktach stosowanych na błony śluzowe",,"Wymagana czystość – zgodnie z dyrektywąKomisji 95/45/WE (E 128)",
"39","Kwas 2,7-naftalenodisulfonowy, 3-((4-cykloheksylo-2-metylofenylo)azo)-4-hydroksy-5-(((4-metylofenylo)-sulfonylo)amino)-, sól disodowa","18130",,,"Czerwony","Produkty spłukiwane",,,
"40","Wodoro-bis[2-[(4,5-dihydro-3-metylo-5-okso-1-fenylo-1H-pirazol-4-ilo)azo]benzoato(2-)]chromian(1-)","18690",,,"Żółty","Produkty spłukiwane",,,
"41","Wodoro-bis[5-chloro-3-[(4,5-dihydro-3-metylo-5-okso-1-fenylo-1H-pirazol-4-ilo)azo]-2-hydroksybenzenosulfoniano(3-)]chromian(3-) disodu","18736",,,"Czerwony","Produkty spłukiwane",,,
"42","4-(3-hydroksy-5-metylo-4-(fenyloazo)pirazolo-2-ylo)benzenosulfonian sodu","18820",,,"Żółty","Produkty spłukiwane",,,
"43","2,5-dichloro-4-(5-hydroksy-3-metylo-4-((sulfofenylo)azo)pirazolo-1-ylo)benzenosulfonian disodu","18965",,,"Żółty",,,,
"44","5-hydroksy-1-(4-sulfofenylo)-4-((4-sulfofenylo)azo)pirazolo-3-karboksylan trisodu i jego nierozpuszczalne laki, sole i pigmenty barowe, strontowe i cyrkonowe","19140",,"217-699-5","Żółty",,,"Wymagana czystość – zgodnie z dyrektywąKomisji 95/45/WE (E 102)",
"45","N,N’–((3,3'-dimetylo[1,1'-bifenylo]-4,4'-diylo)bis[2-[(2,4-dichlorofenylo)azo]-3-oksobutyramid]","20040",,,"Żółty","Produkty spłukiwane",,"Maksymalne stężenie 3,3'-dimetylobenzydyny w barwniku: 5 ppm",
"46","4-amino-5-hydroksy-3-((4-nitrofenylo)azo)-6-(fenyloazo)naftaleno-2,7-disulfonian sodu","20470",,,"Czarny","Produkty spłukiwane",,,
"47","2,2'-[(3,3'-dichloro[1,1'-bifenylo]-4,4'-diylo)bis(azo)]bis[N-(2,4-dimetylofenylo)-3-oksobutyramid]","21100",,,"Żółty","Produkty spłukiwane",,"Maksymalne stężenie 3,3'-dimetylobenzydyny w barwniku: 5 ppm",
"48","2,2'-[(3,3'-dichloro[1,1'-bifenylo]-4,4'-diylo)bis(azo)]bis[N-(4-chloro-2,5-dimetoksyfenylo)-3-oksobutyramid]","21108",,,"Żółty","Produkty spłukiwane",,"Maksymalne stężenie 3,3'-dimetylobenzydyny w barwniku: 5 ppm",
"49","2,2'-[cykloheksylidenobis[(2-metylo-4,1-fenyleno)azo]]bis[4-cykloheksylofenol]","21230",,,"Żółty","Nie stosować w produktach stosowanych na błony śluzowe",,,
"50","4,6-dihydroksy-3-[[4-[1-[4-[[1-hydroksy-7-[(fenylosulfonylo)oksy]-3-sulfoniano-2-naftylo]-azo]fenylo]cykloheksylo]fenylo]azo]naftaleno-2-sulfonian disodu","24790",,,"Czerwony","Produkty spłukiwane",,,
"51","1-(4-(fenylazo)fenylazo)-2-naftol","26100",,,"Czerwony","Nie stosować w produktach stosowanych na błony śluzowe",,"Wymagana czystość: <br>anilina ≤ 0,2 % <br>2-naftol ≤ 0,2 % <br>4-aminoazobenzen ≤ 0,1 % <br>1-(fenyloazo)-2-naftol ≤ 3 % <br>1-2-(fenyloazo)fenyloazo-2-naftalenol ≤ 2 %",
"52","6-amino-4-hydroksy-3-[[7-sulfoniano-4-[(4-sulfonianofenylo)azo]-1-naftylo]azo]naftaleno-2,7-disulfonian tetrasodu","27755",,,"Czarny",,,,
"53","1-acetamido-2-hydroksy-3-(4-((4-sulfonianofenyloazo)-7-sulfoniano-1-naftyloazo)) naftaleno-4,6-disulfonian tetrasodu","28440",,"219-746-5","Czarny",,,"Wymagana czystość – zgodnie z dyrektywąKomisji 95/45/WE (E 151)",
"54","Kwas benzenosulfonowy, 2,2'-(1,2-etenodiylo)bis 5-nitro-, sól disodowa, produkty reakcji z kwasem 4-(4- aminoprienylo)azo benzenesulfonowym, sole sodowe","40215",,,"Pomarańczowy","Produkty spłukiwane",,,
"55","β-karoten","40800",,"230-636-6","Pomarańczowy",,,"Wymagana czystość – zgodnie z dyrektywąKomisji 95/45/WE (E 160a)",
"56","8'-apo-β-karoten-8'-al","40820",,,"Pomarańczowy",,,"Wymagana czystość – zgodnie z dyrektywąKomisji 95/45/WE (E 160c)",
"57","8'-apo-β-karoten-8'-nian etylu","40825",,"214-173-7","Pomarańczowy",,,"Wymagana czystość – zgodnie z dyrektywąKomisji 95/45/WE (E 160f)",
"58","Kantaksantyna","40850",,"208-187-2","Pomarańczowy",,,"Wymagana czystość – zgodnie z dyrektywąKomisji 95/45/WE (E 161g)",
"59","Wodorotlenek (4-(alfa-(p-(dietyloamino)fenylo)-2,4-disulfobenzylideno)-2,5-cycloheksadien-1-ylideno)dietyloamonu, sól monosodowa","42045",,,"Niebieski","Nie stosować w produktach stosowanych na błony śluzowe",,,
"60","Wodorotlenek N-(4-((4-(dietyloamino)fenylo)(5-hydroksy-2,4-disulfofenylo)metyleno)-2,5-cykloheksadieno-1-ylideno)-N-etylo-etanoaminy, sól wewnętrzna, sól wapniowa (2:1) i jej nierozpuszczalne laki, sole i pigmenty barowe, strontowe i cyrkonowe","42051",,"222-573-8","Niebieski",,,"Wymagana czystość – zgodnie z dyrektywąKomisji 95/45/WE (E 131)",
"61","Wodorotlenek N-etylo-N-(4-((4-(etylo((3-sulfofenylo)metylo)amino)fenylo)(4-hydroksy-2-sulfofenylo)metyleno)-2,5-cycloheksadien-1-ylideno)-3-sulfo- benzenometanoaminy, sól wewnętrzna, sól disodowa","42053",,,"Zielony",,,,
"62","Sól sodowa wodoro(benzylo)[4-[[4-[benzyloetylamino]fenylo](2,4-disulfonianofenylo)metyleno]cykloheksa-2,5-dien-1-ylideno](etylo)amonu","42080",,,"Niebieski","Produkty spłukiwane",,,
"63","Wodorotlenek N-etylo-N-(4-((4-(etylo((3-sulfofenylo)metylo)amino)fenylo)(2-sulfofenylo)metyleno)-2,5-cycloheksadien-1-ylideno)-3-sulfo- benzenometanoaminy, sól wewnętrzna, sól disodowa","42090",,"223-339-8","Niebieski",,,"Wymagana czystość – zgodnie z dyrektywąKomisji 95/45/WE (E 133)",
"64","Sól sodowa wodoro[4-[(2-chlorofenylo)[4-[etylo(3-sulfonianobenzylo)amino]fenylo]metyleno]cykloheksa-2,5-dien-1-ylideno] (etylo) (3-sulfonianobenzylo)amonu","42100",,,"Zielony","Produkty spłukiwane",,,
"65","Sól sodowa wodoro [4-[(2-chlorofenylo)[4-[etylo(3-sulfonianobenzylo)amino]o-tolilo]metyleno]-3-metylocykloheksa-2,5-dien-1-ylideno](etylo) (3-sulfonianobenzylo) amonu","42170",,,"Zielony","Produkty spłukiwane",,,
"66","Chlorowodorek (4-(4-aminofenylo)(4-iminocykloheksa-2,5-dienylideno)metylo)-2-metyloaniliny","42510",,,"Fioletowy","Nie stosować w produktach stosowanych na błony śluzowe",,,
"67","Monochlorowodorek 4-[(4-amino-m-tolilo)(4-imino-3-metylocykloheksa-2,5-dien-1-ylideno)metylo]-o-toluidyny","42520",,,"Fioletowy","Produkty spłukiwane","5 ppm",,
"68","Sól sodowa wodoro[4-[[4-(dietyloamino)fenylo][4-[etylo[(3-sulfonianobenzylo)amino]-o-tolilo]metyleno]-3- metylocykloheksa-2,5-dien-1-ylideno](etylo) (3-sulfonianobenzylo)amonu","42735",,,"Niebieski","Nie stosować w produktach stosowanych na błony śluzowe",,,
"69","Chlorek [4-[[4-anilino-1-naftylo][4-(dimetyloamino)fenylo]metyleno]cykloheksa-2,5-dien-1-ylideno]dimetyloamoniowy","44045",,,"Niebieski","Nie stosować w produktach stosowanych na błony śluzowe",,,
"70","Sól monosodowa wodoro [4-[4-(dimetyloamino)-α-(2-hydroksy-3,6-disulfoniano-1-naftylo)benzylideno]cykloheksa-2,5-dien-1-ylideno]dimetyloamonu","44090",,"221-409-2","Zielony",,,"Wymagana czystość – zgodnie z dyrektywąKomisji 95/45/WE (E 142)",
"71","Sól sodowa wodoro-3,6-bis(dietyloamino)-9-(2,4-disulfonianofenylo)ksantylium","45100",,,"Czerwony","Produkty spłukiwane",,,
"72","Sól monosodowa wodoro-9-(2-karboksylatofenylo)-3-(2-metyloanilino)-6-(2-metylo-4-sulfoanilino)ksantylium,","45190",,,"Fioletowy","Produkty spłukiwane",,,
"73","Sól monosodowa wodoro-9-(2,4-disulfonianofenylo)-3,6-bis(etyloamino)-2,7- dimetyloksantylium,","45220",,,"Czerwony","Produkty spłukiwane",,,
"74","2-(3-okso-6-oksydoksanteno-9-ilo)benzoesan disodu","45350",,,"Żółty",,"6 %",,
"75","4',5'-dibromo-3',6'-dihydroksyspiro[izobenzofurano-1(3H),9'-[9H]ksanten]-3-on i jego nierozpuszczalne laki, sole i pigmenty barowe, strontowe i cyrkonowe","45370",,,"Pomarańczowy",,,"Nie więcej niż 1 % kwasu 2-(6-hydroksy-3-okso-3H-ksanten-9-ylo) benzoesowego i 2 % kwasu 2-(bromo-6-hydroksy-3-okso-3H-ksanteno-9-ylo) benzoesowego",
"76","2-(2,4,5,7-tetrabromo-6-oksydo-3-oksoksanten-9-ylo)benzoesan disodu i jego nierozpuszczalne laki, sole i pigmenty barowe, strontowe i cyrkonowe","45380",,,"Czerwony",,,"Nie więcej niż 1 % kwasu 2-(6-hydroksy-3-okso-3H-ksanten-9-ylo) benzoesowego i 2 % kwasu 2-(bromo-6-hydroksy-3-okso-3H-ksanteno-9-ylo) benzoesowego",
"77","3',6'-dihydroksy-4',5'-dinitrospiro[izobenzofurano-1(3H),9'-[9H]ksanten]-3-on","45396",,,"Pomarańczowy",,"1 % w wypadku stosowania w produktach do warg","Stosowanie w produktach do warg – tylko w formie wolnego kwasu",
"78","3,6-dichloro-2-(2,4,5,7-tetrabromo-6-oksydo-3-oksoksanten-9-ylo)benzoesan dipotasu","45405",,,"Czerwony","Nie stosować w produktach do oczu",,"Nie więcej niż 1 % kwasu 2-(6-hydroksy-3-okso-3H-ksanten-9-ylo) benzoesowego i 2 % kwasu 2-(bromo-6-hydroksy-3-okso-3H-ksanten-9-ylo) benzoesowego",
"79","Kwas 3,4,5,6-tetrachloro-2-(1,4,5,8-tetrabromo-6-hydroksy-3-oksoksanten-9-ylo)benzoesowy i jego nierozpuszczalne laki, sole i pigmenty barowe, strontowe i cyrkonowe","45410",,,"Czerwony",,,"Nie więcej niż 1 % kwasu 2-(6-hydroksy-3-okso-3H-ksanteno-9-ylo) benzoesowego i 2 % kwasu 2-(bromo-6-hydroksy-3-okso-3H-ksanteno-9-ylo) benzoesowego",
"80","2-(2,4,5,7-tetrajodo-6-oksydo-3-oksoksanten-9-ylo)benzoesan disodu i jego nierozpuszczalne laki, sole i pigmenty barowe, strontowe i cyrkonowe","45430",,"240-474-8","Czerwony",,,"Wymagana czystość – zgodnie z dyrektywąKomisji 95/45/WE (E 127)",
"81","1,3-izobenzofurandion, produkty reakcji z metylochinolinąi chinoliną","47000",,,"Żółty","Nie stosować w produktach stosowanych na błony śluzowe",,,
"82","1H-indeno-1,3(2H)-dion, 2-(2-chinolinylo)sulfonian, sole sodowe","47005",,"305-897-5","Żółty",,,"Wymagana czystość – zgodnie z dyrektywąKomisji 95/45/WE (E 104)",
"83","Sól sodowa wodoro-9-[(3-metoksyfenylo)amino]-7-fenylo-5-(fenyloamino)-4,10-disulfonianobenzo[a]fenazyny","50325",,,"Fioletowy","Produkty spłukiwane",,,
"84","Barwnik – sulfonowana nigrozyna","50420",,,"Czarny","Nie stosować w produktach stosowanych na błony śluzowe",,,
"85","8,18-dichloro-5,15-dietylo-5,15-dihydrodiindolo[3,2-b:3',2'–m]trifenodioksazyna","51319",,,"Fioletowy","Produkty spłukiwane",,,
"86","1,2-dihydroksyantrachinon","58000",,,"Czerwony",,,,
"87","8-hydroksypireno-1,3,6-trisulfonian trisodu","59040",,,"Zielony","Nie stosować w produktach stosowanych na błony śluzowe",,,
"88","1-anilino-4-hydroksyantrachinon","60724",,,"Fioletowy","Produkty spłukiwane",,,
"89","1-hydroksy-4-(p-toluidyno)antrachinon","60725",,,"Fioletowy",,,,
"90","4-[(9,10-dihydro-4-hydroksy-9,10-diokso-1-antrylo)amino]tolueno-3-sulfonian sodu","60730",,,"Fioletowy","Nie stosować w produktach stosowanych na błony śluzowe",,,
"91","1,4-bis(p-toliloamino)antrachinon","61565",,,"Zielony",,,,
"92","2,2'-(9,10-dioksoantraceno-1,4-diylodiimino)bis(5-metylosulfonian) disodu","61570",,,"Zielony",,,,
"93","3,3'-(9,10-dioksoantraceno-1,4-diylodiimino)bis(2,4,6-trimetylobenzenosulfonian) sodu","61585",,,"Niebieski","Produkty spłukiwane",,,
"94","1-amino-4-(cykloheksyloamino)-9,10-dihydro-9,10-dioksoantraceno-2-sulfonian sodu","62045",,,"Niebieski","Produkty spłukiwane",,,
"95","6,15-dihydroantrazyno-5,9,14,18-tetron","69800",,,"Niebieski",,,,
"96","7,16-dichloro-6,15-dihydroantrazyno-5,9,14,18-tetron","69825",,,"Niebieski",,,,
"97","Bis benzoimidazo[2,1-b:2',1'-i]benzo[lmn][3,8]fenantrolino-8,17-dion","71105",,,"Pomarańczowy","Nie stosować w produktach stosowanych na błony śluzowe",,,
"98","2-(1,3-dihydro-3-okso-2H-indazol-2-ylideno)-1,2-dihydro-3H-indol-3-on","73000",,,"Niebieski",,,,
"99","5,5'-(2-(1,3-dihydro-3-okso-2H-indazol-2-ylideno)-1,2-ihydro-3H-indol-3-on)disulfonian disodu","73015",,"212-728-8","Niebieski",,,"Wymagana czystość – zgodnie z dyrektywąKomisji 95/45/WE (E 132)",
"100","6-chloro-2-(6-chloro-4-metylo-3-oksobenzo[b]tien-2(3H)-ylideno)-4-metylobenzo(b]tiofenen3(2H)-on","73360",,,"Czerwony",,,,
"101","5-chloro-2-(5-chloro-7-metylo-3-oksobenzo[b]tien-2(3H)-ylideno)-7-metylobenzo(b]tiofenen3(2H)-on","73385",,,"Fioletowy",,,,
"102","5,12-dihydrochino[2,3-b]akrydyno-7,14-dion","73900",,,"Fioletowy","Produkty spłukiwane",,,
"103","5,12-dihydro-2,9-dimetylochino[2,3-b]akrydyno-7,14-dion","73915",,,"Czerwony","Produkty spłukiwane",,,
"104","29H,31H-ftalocyjanina","74100",,,"Niebieski","Produkty spłukiwane",,,
"105","[29H,31H-ftalocyjanina (2-)-N29,N30,N31,N32] miedzi","74160",,,"Niebieski",,,,
"106","(29H,31H-ftalocyjaninodisulfoniano (4-)-N29,N30,N31,N32]miedzian(2-) disodu","74180",,,"Niebieski","Produkty spłukiwane",,,
"107","Polichloroftalocyjanina miedzi","74260",,,"Zielony","Nie stosować w produktach do oczu",,,
"108","Kwas 8,8'-diapo-ψ,ψ-karotenodiowy","75100",,,"Żółty",,,,
"109","Annatto","75120",,"215-735-4/289-561-2/230-248-7","Pomarańczowy",,,"Wymagana czystość – zgodnie z dyrektywąKomisji 95/45/WE (E 160b)",
"110","Likopen","75125",,"—","Żółty",,,"Wymagana czystość – zgodnie z dyrektywąKomisji 95/45/WE (E 160d)",
"111","Beta-apo-8'-karotenal","75130",,"214-171-6","Pomarańczowy",,,"Wymagana czystość – zgodnie z dyrektywąKomisji 95/45/WE (E 160a)",
"112","(3R)-β-4-karoten-3-ol","75135",,,"Żółty",,,,
"113","2-amino-1,7-dihydro-6H-puryn-6-on","75170",,,"Biały",,,,
"114","Kurkuminy","75300",,"207-280-5","Żółty",,,"Wymagana czystość – zgodnie z dyrektywąKomisji 95/45/WE (E 100)",
"115","Karminy","75470",,"215-680-6/215-023-3/215-724-4","Czerwony",,,"Wymagana czystość – zgodnie z dyrektywąKomisji 95/45/WE (E 120)",
"116","(2S–trans)-[18-karboksy-20-(karboksymetylo)-13-etylo-2,3-dihydro-3,7,12,17-tetrametylo-8 winylo-21H,23H-porfino-2-propionato(5-)-N21,N22,N23,N24]miedzian(3-) trisodu (chlorofile)","75810",,"215-800-7/207-536-6/208-272-4/287-483-3/239-830-5/246-020-5","Zielony",,,"Wymagana czystość – zgodnie z dyrektywąKomisji 95/45/WE (E 140, E 141)",
"117","Glin","77000",,"231-072-3","Biały",,,"Wymagana czystość – zgodnie z dyrektywąKomisji 95/45/WE (E 173)",
"118","Siarczan wodorotlenku glinu","77002",,,"Biały",,,,
"119","Naturalnie uwodniony krzemian glinu, Al2O3.2SiO2.2H2O, zawierający węglany wapnia, magnezu lub żelaza, wodorotlenek żelazowy, piasek kwarcowy, mikę itp. w formie zanieczyszczeń","77004",,,"Biały",,,,
"120","Lazuryt","77007",,,"Niebieski",,,,
"121","Krzemian glinu zabarwiony tlenkiem żelaza","77015",,,"Czerwony",,,,
"122","Siarczan baru","77120",,,"Biały",,,,
"123","Tlenochlorek bizmutu","77163",,,"Biały",,,,
"124","Węglan wapnia","77220",,"207-439-9/215-279-6","Biały",,,"Wymagana czystość – zgodnie z dyrektywąKomisji 95/45/WE (E 170)",
"125","Siarczan wapnia","77231",,,"Biały",,,,
"126","Sadza","77266","1333-86-4, 7440-44-0","215-609-9, 231-153-3, 931-328-0, 931-334-3","Czarny",,,"Czystość > 97 %, przy następującym profilu zanieczyszczeń: zawartość popiołu ≤ 0,15 %, siarka ogółem ≤ 0,65 %, wielopierścieniowe węglowodory aromatyczne ogółem ≤ 500 ppb oraz benzo(a)piren ≤ 5 ppb, dibenzo(a,h)antracen ≤ 5 ppb, As ogółem ≤ 3 ppm, Pb ogółem ≤ 10 ppm, Hg ogółem ≤ 1 ppm.",
"126a","Sadza (nano)","77266 (nano)","1333-86-4, 7440-44-0","215-609-9, 231-153-3, 931-328-0, 931-334-3","Czarny",,"10 %","Nie do zastosowań, które mogąprowadzić do narażenia płuc użytkownika końcowego na kontakt poprzez wdychanie. Dozwolone są jedynie nanomateriały o następujących właściwościach: <br>— czystość > 97 %, przy następującym profilu zanieczyszczeń: zawartość popiołu ≤ 0,15 %, siarka ogółem ≤ 0,65 %, wielopierścieniowe węglowodory aromatyczne ogółem ≤ 500 ppb oraz benzo(a)piren ≤ 5 ppb, dibenzo(a,h)antracen ≤ 5 ppb, As ogółem ≤ 3 ppm, Pb ogółem ≤ 10 ppm oraz Hg ogółem ≤ 1 ppm, <br>— wielkość cząstek pierwotnych ≥ 20 nm.",
"127","Węgiel kostny. Drobny czarny proszek otrzymywany przez wypalanie kości zwierzęcych w zamkniętych pojemnikach. Składa się głównie z fosforanu wapnia i węgla","77267",,,"Czarny",,,,
"128","Węgiel roślinny","77268:1",,,"Czarny",,,,
"129","Tlenek chromu (III)","77288",,,"Zielony",,,"Wolny od jonów chromianowych",
"130","Wodorotlenek chromu (III)","77289",,,"Zielony",,,"Wolny od jonów chromianowych",
"131","Glinian kobaltu","77346",,,"Zielony",,,,
"132","Miedź","77400",,,"Brązowy",,,,
"133","Złoto","77480",,"231-165-9","Brązowy",,,"Wymagana czystość – zgodnie z dyrektywąKomisji 95/45/WE (E 175)",
"134","Tlenek żelaza","77489",,,"Pomarańczowy",,,,
"135","Czerwony tlenek żelaza","77491",,"215-168-2","Czerwony",,,"Wymagana czystość – zgodnie z dyrektywąKomisji 95/5/WE (E 172)",
"136","Żółty tlenek żelaza","77492","51274-00-1","257-098-5","Żółty",,,"Wymagana czystość – zgodnie z dyrektywąKomisji 95/45/WE (E 172)",
"137","Czarny tlenek żelaza","77499",,"235-442-5","Czarny",,,"Wymagana czystość – zgodnie z dyrektywąKomisji 95/45/WE (E 172)",
"138","Żelazowy (III) żelazocyjanek amonu (II)","77510",,,"Niebieski",,,"od jonów cyjankowych",
"139","Węglan magnezu","77713",,,"Biały",,,,
"140","Amonowy difosforan manganu (3+)","77742",,,"Fioletowy",,,,
"141","Bis(ortofosforan) trimanganu","77745",,,"Czerwony",,,,
"142","Srebro","77820",,"231-131-3","Biały",,,"Wymagana czystość – zgodnie z dyrektywąKomisji 95/45/WE (E 174)",
"143","Ditlenek tytanu <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='W przypadku stosowania jako substancji promieniochronnej, zob. załącznik VI nr 27.'>(1)</span></sup>","77891",,"236-675-5","Biały",,,"— Wymagana czystość – zgodnie z dyrektywąKomisji 95/45/WE (E 171) <br>— Ditlenek tytanu w postaci proszku o zawartości co najmniej 1 % cząstek o średnicy aerodynamicznej ≤ 10 μm, do stosowania zgodnie z załącznikiem III nr 321",
