"Numer porządkowy (a)","Nazwa chemiczna/INN (b)","Numer CAS (c)","Numer WE (d)"
"58","Bromizowal (INN)","496-67-3","207-825-7"
"59","Bromfeniramina (INN) i jej sole","86-22-6","201-657-8"
"60","Bromek benzylonium (INN)","1050-48-2","213-885-5"
"61","Bromek tetraetyloamoniowy (INN)","71-91-0","200-769-4"
"62","Brucyna","357-57-3","206-614-7"
"63","Tetrakaina (INN) i jej sole","94-24-6","202-316-6"
"64","Mofebutazon (INN)","2210-63-1","218-641-1"
"65","Tolbutamid (INN)","64-77-7","200-594-3"
"66","Karbutamid (INN)","339-43-5","206-424-4"
"67","Fenylobutazon (INN)","50-33-9","200-029-0"
"68","Kadm i jego związki","7440-43-9","231-152-8"
"69","Majka lekarska, (Cantharis vesicatoria)","92457-17-5","296-298-7"
"70","Kantarydyna","56-25-7","200-263-3"
"71","Fenprobamat (INN)","673-31-4","211-606-1"
"72","Pochodne nitrowe karbazolu",,
"73","Disiarczek węgla","75-15-0","200-843-6"
"74","Katalaza","9001-05-2","232-577-1"
"75","Cefelina i jej sole","483-17-0","207-591-6"
"76","Komosa piżmowa (Chenopodium ambrosioides L.) (olejek)","8006-99-3",
"77","2,2,2-trichloro-1,1-etanodiol","302-17-0","206-117-5"
"78","Chlor","7782-50-5","231-959-5"
"79","Chlorpropamid (INN)","94-20-2","202-314-5"
"80","Przeniesiony lub skreślony",,
"81","Chlorowodorek cytrynianu 4-fenyloazofenyleno-1,3-diaminy (chlorowodorek cytrynianu chryzoidyny)","5909-04-6",
"82","Chlorzoksazon (INN)","95-25-0","202-403-9"
"83","2-chloro-4-(dimetyloamino)-6-metylopirymidyna (krymidyna - ISO)","535-89-7","208-622-6"
"84","Chlorprotiksen (INN) i jego sole","113-59-7","204-032-8"
"85","Klofenamid (INN)","671-95-4","211-588-5"
"86","N-tlenek N,N-bis(2-chloroetylo) metyloaminy i jego sole","126-85-2",
"87","Chlormetyna (INN) i jej sole","51-75-2","200-120-5"
"88","Cyklofosfamid (INN) i jego sole","50-18-0","200-015-4"
"89","Mannomustyna (INN) i jej sole","576-68-1","209-404-3"
"90","Butanilikaina (INN) i jej sole","3785-21-5",
"91","Chlormezanon (INN)","80-77-3","201-307-4"
"92","Triparanol (INN)","78-41-1","201-115-0"
"93","2-(4-chlorofenylo)fenyloacetylo-1H-indano-1,3(2H)dion (chlorofacynon-ISO)","3691-35-8","223-003-0"
"94","Chlorfenoksyamina (INN)","77-38-3",
"95","Fenaglikodol (INN)","79-93-6","201-235-3"
"96","Chloroetan","75-00-3","200-830-5"
"97","Chrom, kwas chromowy i jego sole","7440-47-3","231-157-5"
"98","Buławinka czerwona (Claviceps purpurea Tul.), jej alkaloidy oraz preparaty galenowe","84775-56-4","283-885-8"
"99","Szczwół plamisty (Conium maculatum L.) (owoc, proszek, preparaty galenowe)","85116-75-2","285-527-6"
"100","Glicyklamid (INN)","664-95-9","211-557-6"
"101","Benzenosulfonian kobaltu","23384-69-2",
"102","Kolchicyna, jej sole i pochodne","64-86-8","200-598-5"
"103","Kolchikozyd i jego pochodne","477-29-2","207-513-0"
"104","Zimowit jesienny (Colchicum autumnale L.) i jego preparaty galenowe","84696-03-7","283-623-2"
"105","Konwalatoksyna","508-75-8","208-086-3"
"106","Rybitrutka indyjska (Anamirta cocculus L.) (owoc)",,
"107","Kroton przeczyszczający (Croton tiglium L.) (olej)","8001-28-3",
"108","1-butylo-3-(N-krotonoilosulfanilylo)mocznik","52964-42-8",
"109","Kurara i kuraryna","8063-06-7/22260-42-0","232-511-1/244-880-6"
"110","Syntetyczne substancje o działaniu kuraryzującym",,
"111","Kwas cyjanowodorowy i jego sole","74-90-8","200-821-6"
"112","Feklemina (INN), 2-(α-cykloheksylobenzylo)-N,N,N',N'-tetraetylo-1,3-propanodiamina","3590-16-7",
"113","Cyklomenol (INN) i jego sole","5591-47-9","227-002-6"
"114","Heksacyklonat sodowy (INN)","7009-49-6",
"115","Heksapropymat (INN)","358-52-1","206-618-9"
"116","Przeniesiony lub skreślony",,
"117","O,O-diacetylo-N-allilo-N-normorfina","2748-74-5",
"118","Pipazetat (INN) i jego sole","2167-85-3","218-508-8"
"119","5-(1,2-dibromo-2-fenyloetylo)-5-metylohydantoina","511-75-1","208-133-8"
"120","Sole pentametylenobis(trimetyloamoniowe), np. bromek pentametonium (INN)","541-20-8","208-771-7"
"121","Sole N,N-[(metyloimino)dietyleno]-bis-(etylodimetyloamoniowe), np. bromek azametonium (INN)","306-53-6","206-186-1"
"122","Cyklarbamat (INN)","5779-54-4","227-302-7"
"123","Klofenotan (INN), DDT (ISO)","50-29-3","200-024-3"
"124","Sole N,N’-heksametyleno-bis-trimetyloamoniowe, np. bromek heksametonium (INN)","55-97-0","200-249-7"
"125","Dichloroetany (chlorki etylenu), np. 1,2-dichloroetan","107-06-2","203-458-1"
"126","Dichloroetyleny (chlorki acetylenu) np. chlorek winylidenu (1,1-dichloroetylen)","75-35-4","200-864-0"
"127","Lizergid (INN) (LSD) i jego sole","50-37-3","200-033-2"
"128","Ester 2-dietyloaminoetylowy kwasu 3-hydroksy-4 fenylobenzoesowego i jego sole","3572-52-9","222-686-2"
"129","Cinchokaina (INN) i jej sole","85-79-0","201-632-1"
"130","Cynamonian 3-dietyloaminopropylu","538-66-9",
"131","O,O-dietylotionofosforan 4-nitrofenylu (Paration-ISO)","56-38-2","200-271-7"
"132","Sole [oksalilo-bis-(iminoetyleno)]-bis-[(o-chlorobenzylo)dietyloamoniowe], np. chlorek ambenonium (INN)","115-79-7","204-107-5"
"133","Metyprylon (INN) i jego sole","125-64-4","204-745-4"
"134","Digitalina i wszystkie heterozydy naparstnicy purpurowej (Digitalis purpurea L.)","752-61-4","212-036-6"
"135","7-(2-hydroksy-3-(2-hydroksyetylo)-N-metyloamino) propyloteofilina (ksantynol)","2530-97-4",
"136","Dioksetedryna (INN) i jej sole","497-75-6","207-849-8"
"137","Jodek piprokurarium (INN)","3562-55-8","222-627-0"
"138","Propyfenazon (INN)","479-92-5","207-539-2"
"139","Tetrabenazyna (INN) i jej sole","58-46-8","200-383-6"
"140","Kaptodiam (INN)","486-17-9","207-629-1"
"141","Mefeklorazyna (INN) i jej sole","1243-33-0",
"142","Dimetyloamina","124-40-3","204-697-4"
"143","Benzoesan 1,1-bis-(dimetyloaminometylo)propylu i jego sole","963-07-5","213-512-6"
"144","Metapirylen (INN) i jego sole","91-80-5","202-099-8"
"145","Metamfepramon (INN) i jego sole","15351-09-4","239-384-1"
"146","Amitryptylina (INN) i jej sole","50-48-6","200-041-6"
"147","Metformina (INN) i jej sole","657-24-9","211-517-8"
"148","Diazotan izosorbidu (INN)","87-33-2","201-740-9"
"149","Malononitryl","109-77-3","203-703-2"
"150","Nitryl kwasu bursztynowego","110-61-2","203-783-9"
"151","Izomery dinitrofenolu","51-28-5/329-71-5/573-56-8/25550-58-7","200-087-7/206-348-1/209-357-9/247-096-2"
"152","Inprokwon (INN)","436-40-8",
"153","Dimewamid (INN) i jego sole","60-46-8","200-479-8"
"154","Difenylpiralina (INN) i jej sole","147-20-6","205-686-7"
"155","Sulfinpirazon (INN)","57-96-5","200-357-4"
"156","Sole N-(3-karbamoilo-3,3-difenylopropylo)-N,N-diizopropylometyloamoniowe, np. jodek izopropamidu (INN)","71-81-8","200-766-8"
"157","Benaktyzyna (INN)","302-40-9","206-123-8"
"158","Benzatropina (INN) i jej sole","86-13-5",
"159","Cyklizyna (INN) i jego sole","82-92-8","201-445-5"
"160","5,5-difenylo-4-imidazolidon (doksenitoina (INN))","3254-93-1","221-851-6"
"161","Probenecyd (INN)","57-66-9","200-344-3"
"162","Disulfiram (INN); tiuram (INN)","97-77-8/137-26-8","202-607-8/205-286-2"
"163","Emetyna, jej sole i pochodne","483-18-1","207-592-1"
"164","Efedryna i jej sole","299-42-3","206-080-5"
"165","Oksanamid (INN) i jego pochodne","126-93-2",
"166","Eseryna (fizostygmina) i jej sole","57-47-6","200-332-8"
"167","Kwas 4-aminobenzoesowy i jego estry z wolną grupą aminową","150-13-0","205-753-0"
"168","Sole choliny i ich estry np. chlorek choliny (INN)","67-48-1","200-655-4"
"169","Karamifen (INN) i jego sole","77-22-5","201-013-6"
"170","Fosforan dietylowo-4-nitrofenylowy (paraokson- ISO)","311-45-5","206-221-0"
"171","Metetoheptazyna (INN) i jej sole","509-84-2",
"172","Oksfenerydyna (INN) i jej sole","546-32-7",
"173","Etoheptazyna (INN) i jej sole","77-15-6","201-007-3"
"174","Metheptazyna (INN) i jej sole","469-78-3",
"175","Metylofenidat (INN) i jego sole","113-45-1","204-028-6"
"176","Doksylamina (INN) i jej sole","469-21-6","207-414-2"
"177","Tolboksan (INN)","2430-46-8",
"178","4-benzyloksyfenol i 4-etoksyfenol","103-16-2/622-62-8","203-083-3/210-748-1"
"179","Paretoksykaina (INN) i jej sole","94-23-5","205-246-4"
"180","Fenozolon (INN)","15302-16-6","239-339-6"
"181","Glutetimid (INN) i jego sole","77-21-4","201-012-0"
"182","Tlenek etylenu","75-21-8","200-849-9"
"183","Bemegryd (INN) i jego sole","64-65-3","200-588-0"
"184","Walnoktamid (INN)","4171-13-5","224-033-7"
"185","Haloperydol (INN)","52-86-8","200-155-6"
"186","Parametazon (INN)","53-33-8","200-169-2"
"187","Fluanizon (INN)","1480-19-9","216-038-8"
"188","Trifluperydol (INN)","749-13-3",
"189","Fluorezon (INN)","2924-67-6","220-889-0"
"190","Fluorouracyl (INN)","51-21-8","200-085-6"
"191","Kwas fluorowodorowy, jego sole, kompleksy i fluorowodorki, z wyjątkiem tych zawartych w załączniku III","7664-39-3","231-634-8"
"192","Sole furfurylotrimetyloamoniowe np. jodek furtretonium (INN)","541-64-0","208-789-5"
"193","Galantamina (INN)","357-70-0",
"194","Progestageny",,
"195","HCH, 1,2,3,4,5,6-heksachlorocykloheksan (lindan)","58-89-9","200-401-2"
"196","(1R,4S,5R,8S)-1,2,3,4,10,10-heksachloro-6,7-epoksy-1,4,4a,5,6,7,8,8a-oktahydro-1,4:5,8-dimetanonaftalen (endryna-ISO)","72-20-8","200-775-7"
"197","Heksachloroetan","67-72-1","200-666-4"
"198","(1R,4S,5R,8S)-1,2,3,4,10,10-heksachloro-1,4,4a,5,8,8a-heksahydro-1,4:5,8-dimetanonaftalen (izodryna-ISO)","465-73-6","207-366-2"
"199","L-β-hydrastyna oraz hydrastynina i ich sole","118-08-1/6592-85-4","204-233-0/229-533-9"
"200","Hydrazydy i ich sole, np. Isoniazid (INN)","54-85-3","200-214-6"
"201","Hydrazyna, jej pochodne i sole","302-01-2","206-114-9"
"202","Oktamoksyn (INN) i jego sole","4684-87-1",
"203","Warfaryna (INN) i jej sole","81-81-2","201-377-6"
"204","Ester etylowy kwasu bis-(4-hydroksy-2-okso-1-benzopirano-3-ilo)octowego i sole tego kwasu","548-00-5","208-940-5"
"205","Metokarbamol (INN)","532-03-6","208-524-3"
"206","Azotan propatylu (INN)","2921-92-8","220-866-5"
"207","4,4’-dihydroksy-3,3’-(3-metylotiopropylideno) dikumaryna",,
"208","Fenadiazol (INN)","1008-65-7",
"209","Nitroksolina (INN) i jej sole","4008-48-4","223-662-4"
"210","Hioscyjamina, jej sole i pochodne","101-31-5","202-933-0"
"211","Lulek czarny (Hyoscyamus niger L.) (liście, nasiona, proszek oraz preparaty galenowe)","84603-65-6","283-265-7"
"212","Pemolina (INN) i jej sole","2152-34-3","218-438-8"
"213","Jod","7553-56-2","231-442-4"
"214","Sole dekametylo-bis-trimetyloamoniowe, np. bromek dekametonium (INN)","541-22-0","208-772-2"
"215","Wymiotnica prawdziwa (Cephaelis ipecacuanha Brot.) oraz gatunki pokrewne) (korzenie, proszek oraz preparaty galenowe)","8012-96-2","232-385-8"
"216","(2-izopropylo-4-pentenoilo)mocznik (apronalid)","528-92-7","208-443-3"
"217","α-Santonina [3S-(3α,3aα,5aβ,9bβ)]-3a,5,5a,9b-tetrahydro-3,5a,9-trimetylonafto[1,2-b]furan-2,8(3H,4H)-dion","481-06-1","207-560-7"
"218","Stroiczka wzdęta (Lobelia inflata L.) i jej preparaty galenowe","84696-23-1","283-642-6"
"219","Lobelina (INN) i jej sole","90-69-7","202-012-3"
"220","Barbiturany",,
"221","Rtęć i jej związki, z wyjątkiem szczególnych przypadków ujętych w załączniku V","7439-97-6","231-106-7"
"222","3,4,5-trimetoksyfenetyloamina (meskalina) i jej sole","54-04-6","200-190-7"
"223","Metaldehyd","9002-91-9",
"224","2-(-4-allilo-2-metoksyfenoksy)-N,N-dietyloacetamid i jego sole","305-13-5",
"225","Kumetarol (INN)","4366-18-1","224-455-1"
"226","Dekstrometorfan (INN) i jego sole","125-71-3","204-752-2"
"227","2-metyloheptanoamina i jej sole","540-43-2",
"228","Izometepten (INN) i jego sole","503-01-5","207-959-6"
"229","Mekamylamina (INN)","60-40-2","200-476-1"
"230","Gwajafenezyna (INN)","93-14-1","202-222-5"
"231","Dikumarol (INN)","66-76-2","200-632-9"
"232","Fenmetrazyna (INN), jej pochodne i sole","134-49-6","205-143-4"
"233","Tiamazol (INN)","60-56-0","200-482-4"
"234","3,4-dihydro-2-metoksy-2-metylo-4-fenylo-2H,5H-pirano(3,2c)-(1)benzopirano-5-on (cyklokumarol)","518-20-7","208-248-3"
"235","Karyzoprodol (INN)","78-44-4","201-118-7"
"236","Meprobamat (INN)","57-53-4","200-337-5"
"237","Tefazolina (INN) i jej sole","1082-56-0",
"238","Arekolina","63-75-2","200-565-5"
"239","Metylosiarczan poldyny (INN),","545-80-2","208-894-6"
"240","Hydroksyzyna (INN)","68-88-2","200-693-1"
"241","2-naftol","135-19-3","205-182-7"
"242","1-naftyloamina i 2-naftyloamina oraz ich sole","134-32-7/91-59-8","205-138-7/202-080-4"
"243","3-(1-naftylo)-4-hydroksykumaryna","39923-41-6",
"244","Nafazolina (INN) i jej sole","835-31-4","212-641-5"
"245","Neostygmina i jej sole, np. bromek neostygminy (INN)","114-80-7","204-054-8"
"246","Nikotyna i jej sole","54-11-5","200-193-3"
"247","Azotyny amylu","110-46-3","203-770-8"
"248","Nieorganiczne azotyny, z wyjątkiem azotynu sodu","14797-65-0",
"249","Nitrobenzen","98-95-3","202-716-0"
"250","Nitrokrezole i ich sole z metalami alkalicznymi","12167-20-3",
"251","Nitrofurantoina (INN)","67-20-9","200-646-5"
"252","Furazolidon (INN)","67-45-8","200-653-3"
"253","Nitrogliceryna; triazotan propano-1,2,3-triolu","55-63-0","200-240-8"
"254","Acenokumarol (INN)","152-72-7","205-807-3"
"255","Nitroprusydki metali alkalicznych","14402-89-2/13755-38-9","238-373-9/-"
"256","Nitrostilbeny, ich homologi i pochodne",,
"257","Noradrenalina i jej sole","51-41-2","200-096-6"
"258","Noskapina (INN) i jej sole","128-62-1","204-899-2"
"259","Guanetydyna (INN) i jej sole","55-65-2","200-241-3"
"260","Estrogeny",,
"261","Oleandryna","465-16-7","207-361-5"
"262","Chlortalidon (INN)","77-36-1","201-022-5"
"263","Peletieryna i jej sole","2858-66-4/4396-01-4","220-673-6/224-523-0"
"264","Pentachloroetan","76-01-7","200-925-1"
"265","Tetraazotan pentaerytrytylu (INN)","78-11-5","201-084-3"
"266","Petrychloral (INN)","78-12-6",
"267","Oktamylamina (INN) i jej sole","502-59-0","207-947-0"
"268","Kwas pikrynowy","88-89-1","201-865-9"
"269","Fenacemid (INN)","63-98-9","200-570-2"
"270","Difenkloksazyna (INN)","5617-26-5",
"271","2-fenyloindan-1,3-dion (fenindion (INN))","83-12-5","201-454-4"
"272","Etylofenacemid (feneturyd (INN))","90-49-3","201-998-2"
"273","Fenprokumon (INN)","435-97-2","207-108-9"
"274","Fenyramidol (INN)","553-69-5","209-044-7"
"275","Triamteren (INN) i jego sole","396-01-0","206-904-3"
"276","Tetraetylopirofosforan (TEPP - ISO)","107-49-3","203-495-3"
"277","Fosforan tritolilu","1330-78-5","215-548-8"
"278","Psylocybina (INN)","520-52-5","208-294-4"
"279","Fosfor i fosforki metali","7723-14-0","231-768-7"
"280","Talidomid (INN) i jego sole","50-35-1","200-031-1"
"281","Fasola kalabarska (Physostigma venenosum Balf.)","89958-15-6","289-638-0"
"282","Pikrotoksyna","124-87-8","204-716-6"
"283","Pilokarpina i jej sole","92-13-7","202-128-4"
"284","Lewoskrętna postać treo octanu α -piperydyno-2-ilobenzylowego (lewofacetoperan) (INN) i jego sole","24558-01-8",
"285","Pipradrol (INN) i jego sole","467-60-7","207-394-5"
"286","Azacyklonol (INN) i jego sole","115-46-8","204-092-5"
"287","Bietamiweryna (INN)","479-81-2","207-538-7"
"288","Butopipryna (INN) i jej sole","55837-15-5","259-848-7"
"289","Ołów i jego związki","7439-92-1","231-100-4"
"290","Koniina","458-88-8","207-282-6"
"291","Laurowiśnia wschodnia (Prunus laurocerasus L.)","89997-54-6","289-689-9"
"292","Metyrapon (INN)","54-36-4","200-206-2"
"293","Substancje promieniotwórcze, zdefiniowane w dyrektywie 96/29/Euratom <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Dz.U. L 159 z 29.6.1996, s. 1.'>(1)</span></sup> ustanawiającej podstawowe standardy bezpieczeństwa w celu ochrony zdrowia pracowników oraz ogółu społeczeństwa przed niebezpieczeństwami powstałymi w wyniku promieniowania jonizującego.",,
"294","Jałowiec sawina Juniperus sabina L. (liście, wyciąg oraz preparaty galenowe)","90046-04-1","289-971-1"
"295","Hioscyna, jej sole oraz pochodne","51-34-3","200-090-3"
"296","Sole złota",,
"297","Selen i jego związki, z wyjątkiem disiarczku selenu, zgodnie z warunkami określonymi pod nr 49 w załączniku III","7782-49-2","231-957-4"
"298","Psianka czarna (Solanum nigrum L.) i jej preparaty galenowe","84929-77-1","284-555-6"
"299","Sparteina (INN) i jej sole","90-39-1","201-988-8"
"300","Glikokortykoidy (kortykosterydy)",,
"301","Bieluń dziędzierzawa (Datura stramonium L.) i jego preparaty galenowe","84696-08-2","283-627-4"
"302","Strofantyny i ich aglikony oraz główne pochodne","11005-63-3","234-239-9"
"303","Rośliny należące do rodzaju skrętnik (Strophantus) i ich preparaty galenowe",,
"304","Strychnina i jej sole","57-24-9","200-319-7"
"305","Rośliny należące do rodzaju kulczyba (Strychnos) oraz ich preparaty galenowe",,
"306","Narkotyki naturalne i syntetyczne: wszystkie substancje zamieszczone w tabelach I i II konwencji w sprawie leków narkotycznych, podpisanej w Nowym Jorku dnia 30 marca 1961 r.",,
"307","Sulfonamidy (sulfanilamidy i ich pochodne, otrzymane przez podstawienie jednego lub więcej atomów wodoru grupami NH2) i ich sole",,
"308","Sultiam (INN)","61-56-3","200-511-0"
"309","Neodym i jego sole","7440-00-8","231-109-3"
"310","Tiotepa (INN)","52-24-4","200-135-7"
"311","Potoślin pierzasty (Pilocarpus jaborandi Holmes) i jego preparaty galenowe","84696-42-4","283-649-4"
"312","Tellur i jego związki","13494-80-9","236-813-4"
"313","Ksylometazolina (INN) i jej sole","526-36-3","208-390-6"
"314","Tetrachloroetylen","127-18-4","204-825-9"
"315","Tetrachlorek węgla","56-23-5","200-262-8"
"316","Tetrafosforan heksaetylu","757-58-4","212-057-0"
"317","Tal i jego związki","7440-28-0","231-138-1"
"318","Glikozydy Żółtego oleandra (Thevetia neriifolia Juss.), zawarte w ekstraktach","90147-54-9","290-446-4"
"319","Etionamid (INN)","536-33-4","208-628-9"
"320","Fenotiazyna (INN) i jej związki","92-84-2","202-196-5"
"321","Tiomocznik i jego pochodne z wyjątkiem jednego wymienionego w załączniku III","62-56-6","200-543-5"
"322","Mefenezyna (INN) i jej estry","59-47-2","200-427-4"
"323","Szczepionki, toksyny i surowice zdefiniowane jako immunologiczne produkty lecznicze zgodnie z art. 1 ust. 4 dyrektywy 2001/83/WE",,
"324","Tranylcypromina (INN) i jej sole","155-09-9","205-841-9"
"325","Trichloronitrometan (chloropikryna)","76-06-2","200-930-9"
"326","2,2,2-tribromoetanol (alkohol tribromoetylowy)","75-80-9","200-903-1"
"327","Trichlorometyna (INN) i jej sole","817-09-4","212-442-3"
"328","Tretamina (INN)","51-18-3","200-083-5"
"329","Trietylojodek galaminy (INN)","65-29-2","200-605-1"
"330","Cebula morska (Urginea scilla Steinh.) i jej preparaty galenowe","84650-62-4","283-520-2"
"331","Weratryna i jej sole oraz preparaty galenowe","8051-02-3","613-062-00-4"
"332","Schoenocaulon officinale Lind (nasiona i preparaty galenowe)","84604-18-2","283-296-6"
"333","Rośliny z rodzaju ciemiężyca (Veratrum spp.) i ich preparaty","90131-91-2","290-407-1"
"334","Chlorek winylu (monomer)","75-01-4","200-831-0"
"335","Ergokalcyferol (INN), cholekalcyferol (witaminy D2 i D3)","50-14-6/67-97-0","200-014-9/200-673-2"
"336","Sole kwasów O-alkiloditiokarboksylowych (ksantany)",,
"337","Johimbina i jej sole","146-48-5","205-672-0"
"338","Dimetylosulfotlenek (INN)","67-68-5","200-664-3"
"339","Difenhydramina (INN) i jej sole","58-73-1","200-396-7"
"340","4-tert-butylofenol","98-54-4","202-679-0"
"341","4-tert-butylopirokatechol","98-29-3","202-653-9"
"342","Dihydrotachysterol (INN)","67-96-9","200-672-7"
"343","Dioksan","123-91-1","204-661-8"
"344","Morfolina i jej sole","110-91-8","203-815-1"
"345","Złocień biały (Pyrethrum album L.) i jego preparaty galenowe",,
"346","Maleinian 2-[4-metoksybenzylo-N-(2-pirydylo)amino]etylodimetyloaminy (Maleinian mepiraminy; maleinian pirylaminy)","59-33-6","200-422-7"
"347","Trypelenamina (INN)","91-81-6","202-100-1"
"348","Tetrachlorosalicylanilidy","7426-07-5",
"349","Dichlorosalicylanilidy","1147-98-4",
"350","Tetrabromosalicylanilidy",,
"351","Dibromosalicylanilidy",,
"352","Bitionol (INN)","97-18-7","202-565-0"
"353","Siarczki tiuramu","97-74-5","202-605-7"
"354","Przeniesiony lub skreślony",,
"355","Dimetyloformamid (N,N-dimetyloformamid, DMF)","68-12-2","200-679-5"
"356","4-fenylobut-3-en-2-on (benzylidenoaceton)","122-57-6","204-555-1"
"357","Benzoesany alkoholu 4-hydroksy-3-metoksycynamonowego (alkoholu koniferylowego), z wyjątkiem ilości normalnie zawartych w wyciągach naturalnych",,
"358","Furokumaryny (na przykład trioksysalen (INN), 8-metoksypsoralen, 5-metoksypsoralen) z wyjątkiem ilości normalnie zawartych w wyciągach naturalnych. W produktach do opalania i produktach ochronnych zawartość furokumaryn nie może przekraczać 1 mg/kg","3902-71-4/298-81-7/484-20-8","223-459-0/206-066-9/207-604-5"
"359","Olej z nasion Wawrzynu szlachetnego (Laurus nobilis L.)","84603-73-6","283-272-5"
"360","Safrol, z wyjątkiem ilości normalnie zawartych w wyciągach naturalnych, i użyty w stężeniach nieprzekraczających: 100 ppm w produkcie gotowym, 50 ppm w produktach przeznaczonych do higieny jamy ustnej, z zastrzeżeniem, iż nie może występować w pastach do zębów przeznaczonych specjalnie dla dzieci","94-59-7","202-345-4"
"361","Dipodjodyn 5,5’-diizopropylo-2,2’-dimetylobifenylo-4,4’-diylu (jodek tymolu)","552-22-7","209-007-5"
