"Numer porządkowy (a)","Nazwa chemiczna/INN (b)","Nazwa w słowniku wspólnych nazw składników (c)","Nr CAS (d)","Nr WE (e)","Rodzaj produktu, części ciała (f)","Maksymalne stężenie w preparacie gotowym do użycia (g)","Inne (h)","Warunki i ostrzeżenia na opakowaniach (i)"
"9","Metylofenylenodiaminy, ich N-podstawione pochodne i ich sole <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Te substancje stosuje się pojedynczo lub w połączeniach, pod warunkiem że suma współczynników zawartości każdego z nich w danym produkcie kosmetycznym, wyrażona w odniesieniu do maksymalnej dopuszczalnej zawartości każdego z nich, nie przekroczy 1.'>(1)</span></sup> z wyjątkiem substancji wymienionych pod numerami porządkowymi 9a i 9b niniejszego załącznika oraz substancji wymienionych pod numerami porządkowymi 364, 413, 1144, 1310, 1313 i 1507 w załączniku II",,,,"Substancja do farbowania włosów w utleniających produktach do farbowania włosów",,"a) Stosowanie ogólne <br>b) Stosowanie profesjonalne <br>Dla a) i b): <br>Po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy nie może przekraczać 5 % w przeliczeniu na wolną zasadę","a) Na etykiecie należy wydrukować: <br>Stosunek zmieszania. <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne. <br>Proszę przeczytać instrukcje i przestrzegać ich. <br>Produkt nie jest przeznaczony dla osób poniżej 16 roku życia. <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii. <br>Nie farbować włosów, jeśli: <br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona, <br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów, <br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny. <br>Zawiera fenylenodiaminy (toluenodiaminy). <br>Nie stosować do barwienia brwi i rzęs.” <br>b) Na etykiecie należy wydrukować: <br>Stosunek zmieszania. <br>„Tylko do użytku profesjonalnego. <br><i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne. <br>Proszę przeczytać instrukcje i przestrzegać ich. <br>Produkt nie jest przeznaczony dla osób poniżej 16 roku życia. <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii. <br>Nie farbować włosów, jeśli: <br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona, <br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów, <br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny. <br>Zawiera fenylenodiaminy (toluenodiaminy). <br>Stosować rękawice ochronne.”"
"9a","2-metylo-1,4-benzenodiamina siarczan 2,5-diaminotoluenu","Toluene-2,5-Diamine <br>Toluene-2,5-Diamine Sulfate <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Te substancje stosuje się pojedynczo lub w połączeniach, pod warunkiem że suma współczynników zawartości każdego z nich w danym produkcie kosmetycznym, wyrażona w odniesieniu do maksymalnej dopuszczalnej zawartości każdego z nich, nie przekroczy 1.'>(1)</span></sup>","95-70-5 <br>615-50-9","202-442-1 <br>210-431-8","a) Substancja do farbowania włosów w utleniających produktach do farbowania włosów <br>b) Produkty przeznaczone do barwienia rzęs",,"a) (i) Ogólne stosowanie <br>a) (ii) Stosowanie profesjonalne <br>b) Stosowanie profesjonalne <br>Dla a) i b): Po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy lub rzęsy nie może przekraczać 2,0 % (w przeliczeniu na wolną zasadę) lub 3,6 % (w przeliczeniu na sól siarczanową).","a) Na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne. <br>Proszę przeczytać instrukcje i przestrzegać ich. <br>Produkt nie jest przeznaczony dla osób poniżej 16 roku życia. <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii. <br>Nie farbować włosów, jeśli: <br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona, <br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów, <br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny. <br>Zawiera fenylenodiaminy (toluenodiaminy). <br>a) (i) Nie stosować do barwienia rzęs. <br>a) (ii) Stosować rękawice ochronne. <br>Tylko do użytku profesjonalnego.” <br>b) Od dnia 3 marca 2018 r. na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Produkt może wywoływać silne reakcje alergiczne. <br>Proszę przeczytać instrukcje i przestrzegać ich. <br>Produkt nie jest przeznaczony dla osób poniżej 16 roku życia. <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii. <br>Nie należy farbować rzęs, jeżeli: <br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona, <br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów lub rzęs, <br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny. <br>W przypadku dostania się preparatu do oczu natychmiast przepłukać je wodą. <br>Zawiera fenylenodiaminy (toluenodiaminy). <br>Stosować rękawice ochronne. <br>Tylko do użytku profesjonalnego.”"
"9b","1-metylo-2,6-bis-(2-hydroksyetyloamino)-benzen","2,6-Dihydroxyethylaminotoluene","149330-25-6","443-210-1","Substancja do farbowania włosów w utleniających produktach do farbowania włosów",,"Od dnia 3 września 2017 r., po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy nie może przekraczać 1,0 % <br>— Nie używać z czynnikami nitrozującymi <br>— Maksymalna zawartość nitrozoaminy: 50 μg/kg <br>— Przechowywać w pojemnikach niezawierających azotynów","Od dnia 3 marca 2018 r. na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne. <br>Proszę przeczytać instrukcje i przestrzegać ich. <br>Produkt nie jest przeznaczony dla osób poniżej 16 roku życia. <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii. <br>Nie farbować włosów, jeśli: <br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona, <br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów, <br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny.”"
"11","Dichlorofen","Dichlorophene","97-23-4","202-567-1",,"0,5 %",,"Zawiera dichlorofen"
"12","Nadtlenek wodoru i inne związki lub ich mieszaniny uwalniające nadtlenek wodoru, w tym nadtlenek mocznika i nadtlenek cynku, z wyjątkiem następujących substancji w załączniku II: <br>— nr 1397, 1398, 1399","Hydrogen peroxide","7722-84-1","231-765-0","a) Produkty do włosów <br>b) Produkty do skóry <br>c) Produkty do utwardzania paznokci <br>d) Produkty do jamy ustnej, w tym płyny do płukania jamy ustnej, pasty do zębów, produkty do wybielania zębów <br>e) Produkty do wybielania zębów <br>f) Produkty przeznaczone do rzęs","a) 12 % H<sub>2</sub>O<sub>2</sub> (40 objętości), obecnego lub uwolnionego <br>b) 4 % H<sub>2</sub>O<sub>2</sub>, obecnego lub uwolnionego <br>c) 2 % H<sub>2</sub>O<sub>2</sub>, obecnego lub uwolnionego <br>d) ≤ 0,1 % H<sub>2</sub>O<sub>2</sub>, obecnego lub uwolnionego <br>e) > 0,1 % ≤ 6 % H<sub>2</sub>O<sub>2</sub>, obecnego lub uwolnionego <br>f) 2 % H<sub>2</sub>O<sub>2</sub>, obecnego lub uwolnionego","e) Wyrób przeznaczony do sprzedaży wyłącznie lekarzom dentystom. W każdym cyklu stosowania pierwsze zastosowanie przez lekarza dentystę zgodnie z definicją zawartą w dyrektywie 2005/36/WE Parlamentu Europejskiego i Rady <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Dyrektywa 2005/36/WE Parlamentu Europejskiego i Rady z dnia 7 września 2005 r. w sprawie uznawania kwalifikacji zawodowych (Dz.U. L 255 z 30.9.2005, s. 22).'>(14)</span></sup> lub pod jego bezpośrednim nadzorem, o ile zapewniony jest równoważny poziom bezpieczeństwa. Następnie wyrób wydaje się konsumentowi do dokończenia cyklu stosowania. Nie stosować u osób w wieku poniżej 18 lat. <br>f) Tylko do użytku profesjonalnego","a) f) Stosować rękawice ochronne <br>a) b) c) e) Zawiera nadtlenek wodoru. <br>Unikać kontaktu z oczami. <br>W przypadku dostania się preparatu do oczu natychmiast przepłukać je wodą <br>e) Stężenie procentowe H<sub>2</sub>O<sub>2</sub> obecnego lub uwolnionego umieszcza się na etykiecie. <br>Nie stosować u osób w wieku poniżej 18 lat. <br>Wyrób przeznaczony do sprzedaży wyłącznie lekarzom dentystom. W każdym cyklu produkt po raz pierwszy musi być stosowany przez lekarza dentystę lub pod jego bezpośrednim nadzorem, o ile zapewnia to równoważny poziom bezpieczeństwa. <br>Następnie wyrób wydaje się konsumentowi do dokończenia cyklu stosowania. <br>f) Na etykiecie należy wydrukować: <br>„Tylko do użytku profesjonalnego. <br>Unikać kontaktu z oczami. <br>W przypadku dostania się preparatu do oczu natychmiast przepłukać je wodą. <br>Zawiera nadtlenek wodoru”"
"14","Hydrochinon","Hydroquinone","123-31-9","204-617-8","Preparaty do sztucznych paznokci","0,02 % (po zmieszaniu do użycia)","Tylko do użytku profesjonalnego","— Tylko do użytku profesjonalnego <br>— Unikać kontaktu ze skórą <br>— Proszę uważnie przeczytać sposób użycia"
"15a","Wodorotlenek potasu lub sodu <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Inne zastosowania wodorotlenku potasu - zob. załącznik III pozycja 15d.'>(20)</span></sup>","Potassium hydroxide <br>Sodium hydroxide","1310-58-3 <br>1310-73-2","215-181-3 <br>215-185-5","a) Produkty do usuwania skórek wokół paznokci <br>b) Produkty do prostowania włosów <br>c) Regulator pH w depilatorach <br>d) Inne zastosowania jako regulator pH","a) 5 % <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Ilość wodorotlenku sodu, potasu lub litu jest wyrażona jako waga wodorotlenku sodu. W przypadku mieszanin suma nie może przekraczać maksymalnych dopuszczalnych stężeń podanych w kolumnie g.'>(4)</span></sup> <br>b) i) 2 % <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Ilość wodorotlenku sodu, potasu lub litu jest wyrażona jako waga wodorotlenku sodu. W przypadku mieszanin suma nie może przekraczać maksymalnych dopuszczalnych stężeń podanych w kolumnie g.'>(4)</span></sup> <br>b) ii) 4,5 % <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Ilość wodorotlenku sodu, potasu lub litu jest wyrażona jako waga wodorotlenku sodu. W przypadku mieszanin suma nie może przekraczać maksymalnych dopuszczalnych stężeń podanych w kolumnie g.'>(4)</span></sup>","b) i) Stosowanie ogólne <br>b) ii) Stosowanie profesjonalne <br>c) pH < 12,7 <br>d)pH < 11","a) Zawiera alkalia. <br>Unikać kontaktu z oczami. <br>Może spowodować utratę wzroku. <br>Chronić przed dziećmi <br>b) i) Zawiera alkalia. <br>Unikać kontaktu z oczami. <br>Może spowodować utratę wzroku. <br>Chronić przed dziećmi <br>b) ii) Tylko do użytku profesjonalnego. <br>Unikać kontaktu z oczami. <br>Może spowodować utratę wzroku <br>c) Chronić przed dziećmi. <br>Unikać kontaktu z oczami"
"15b","Wodorotlenek litu","Lithium hydroxide","1310-65-2","215-183-4","a) Produkty do prostowania włosów <br>b) do regulacji pH - w depilatorach <br>c) Inne zastosowania - do regulacji pH (tylko dla produktów spłukiwanych)","a) i) 2 %<sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Stężenie wodorotlenku sodu, potasu lub litu wyrażone jest wagowo w przeliczeniu na wodorotlenek sodu. W przypadku mieszanin suma nie może przekraczać granic podanych w kolumnie d.'>(5)</span></sup> <br>a) ii) 4,5 %<sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Stężenie wodorotlenku sodu, potasu lub litu wyrażone jest wagowo w przeliczeniu na wodorotlenek sodu. W przypadku mieszanin suma nie może przekraczać granic podanych w kolumnie d.'>(5)</span></sup>","a) i) Stosowanie ogólne <br>a) ii) Stosowanie profesjonalne <br>b) pH < 12,7 <br>c) pH < 11","a) i) Zawiera alkalia. <br>Unikać kontaktu z oczami. <br>Może spowodować utratę wzroku. <br>Chronić przed dziećmi <br>a) ii) Unikać kontaktu z oczami.Może spowodować utratę wzroku <br>b) Zawiera alkalia. <br>Chronić przed dziećmi. <br>Unikać kontaktu z oczami"
"15c","Wodorotlenek wapnia","Calcium hydroxide","1305-62-0","215-137-3","a) Produkty do prostowania włosów zawierające dwa składniki: wodorotlenek wapnia i sól guanidyny <br>b) do regulacji pH - w depilatorach <br>c) Inne zastosowania (np. do regulacji pH, substancja pomocnicza w procesie)","a) 7 % (w przeliczeniu na wodorotlenek wapnia)","b) pH < 12,7 <br>c) pH < 11","a) Zawiera alkalia. <br>Unikać kontaktu z oczami. <br>Chronić przed dziećmi. <br>Może spowodować utratę wzroku <br>b) Zawiera alkalia <br>Chronić przed dziećmi Unikać kontaktu z oczami"
"15d","Wodorotlenek potasu <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Inne zastosowania wodorotlenku potasu - zob. załącznik III pozycja 15a.'>(21)</span></sup>","Potassium hydroxide","1310-58-3","215-181-3","Środek do zmiękczania/usuwania zrogowaceń","1,5 % <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Ilość wodorotlenku sodu, potasu lub litu jest wyrażona jako waga wodorotlenku sodu. W przypadku mieszanin suma nie może przekraczać maksymalnych dopuszczalnych stężeń podanych w kolumnie g.'>(4)</span></sup>",,"Zawiera alkalia. <br>Unikać kontaktu z oczami. <br>Chronić przed dziećmi. <br>Proszę uważnie przeczytać sposób użycia"
"16","1-naftalenol","1-Naphthol","90-15-3","201-969-4","Substancja do farbowania włosów w utleniających produktach do farbowania włosów",,"Po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy nie może przekraczać 2,0 %","Na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne. <br>Proszę przeczytać instrukcje i przestrzegać ich. <br>Produkt nie jest przeznaczony dla osób poniżej 16. roku życia. <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii. <br>Nie farbować włosów, jeśli: <br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona, <br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów, <br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny”"
"17","Azotyn sodu","Sodium nitrite","7632-00-0","231-555-9","Inhibitor korozji","0,2 %","Nie stosować z II- i/lub III-rzędowymi aminami i innymi substancjami tworzącymi nitrozoaminy",
"18","Nitrometan","Nitromethane","75-52-5","200-876-6","Inhibitor korozji","0,3 %",,
"21","Cynchonino-9-ol, 6'-metoksy-, (8.alfa., 9R)- i jego sole (Chinina i jej sole)","Quinine","130-95-0","205-003-2","a) Produkty spłukiwane do włosów <br>b) Produkty niespłukiwane do włosów","a) 0,5 % (w przeliczeniu na chinię) <br>b) 0,2 % (w przeliczeniu na chinię)",,
"22","1,3-benzenodiol","Resorcinol","108-46-3","203-585-2","a) substancja do farbowania włosów w utleniających produktach do farbowania włosów <br>b) produkty przeznaczone do barwienia rzęs <br>c) płyny i szampony do włosów","c) 0,5 %","Dla a) i b): Po zmieszaniu w warunkach utleniających maksymalne stężenie stosowane na włosy lub rzęsy nie może przekraczać 1,25% <br>b) tylko do użytku profesjonalnego.","a) Na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„<i class='bi bi-exclamation-triangle piktogram'></i> Barwniki do włosów mogą wywoływać silne reakcje alergiczne. <br>Proszę przeczytać instrukcje i przestrzegać ich. <br>Produkt nie jest przeznaczony dla osób poniżej 16 roku życia. <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii. <br>Nie farbować włosów, jeśli: <br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona, <br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów, <br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny <br>Zawiera rezorcynę. <br>Dobrze spłukać włosy po użyciu. <br>W przypadku dostania się preparatu do oczu natychmiast przepłukać je wodą <br>Nie stosować do barwienia rzęs.” <br>b) Na etykiecie należy wydrukować: <br>Stosunek zmieszania <br>„Tylko do użytku profesjonalnego <br>Zawiera rezorcynę. <br><i class='bi bi-exclamation-triangle piktogram'></i> Produkt może wywoływać silne reakcje alergiczne. <br>Proszę przeczytać instrukcje i przestrzegać ich. <br>Produkt nie jest przeznaczony dla osób poniżej 16 roku życia. <br>Tymczasowe tatuaże na bazie czarnej henny mogą zwiększyć ryzyko wystąpienia alergii. <br>Nie należy farbować rzęs, jeżeli: <br>— na twarzy występuje wysypka lub skóra głowy jest wrażliwa, podrażniona i uszkodzona, <br>— kiedykolwiek wystąpiła reakcja na farbowanie włosów lub rzęs, <br>— w przeszłości wystąpiła reakcja na tymczasowy tatuaż na bazie czarnej henny. <br>W przypadku dostania się preparatu do oczu natychmiast przepłukać je wodą.” <br>c) zawiera rezorcynę."
