"Numer porządkowy (a)","Nazwa chemiczna/INN (b)","Nazwa w glosariuszu wspólnych nazw składników (c)","Nr CAS (d)","Nr WE (e)","Rodzaj produktu, części ciała (f)","Maksymalne stężenie w preparacie gotowym do użycia (g)","Inne (h)","Określenie warunków stosowania i ostrzeżeń (i)"
"20","5-bromo-5-nitro-1,3-dioksan","5-Bromo-5-nitro-1,3-dioxane","30007-47-7","250-001-7","Produkty spłukiwane","0,1 %","Unikać tworzenia nitrozoamin",
"21","Bronopol","2-Bromo-2-nitropropane-1,3-diol","52-51-7","200-143-0",,"0,1 %","Unikać tworzenia nitrozoamin",
"22","Alkohol 2,4-dichlorobenzylowy","Dichlorobenzyl Alcohol","1777-82-8","217-210-5",,"0,15 %",,
"23","1-(4-chlorofenylo)-3-(3,4-dichlorofenylo)mocznik (22) (6)","Triclocarban","101-20-2","202-924-1","Wszystkie produkty kosmetyczne, z wyjątkiem płynu do płukania jamy ustnej.","0,2 %","Kryteria czystości: 3,3’,4,4’-tetrachloro-azobenzen ≤ 1 ppm 3,3’,4,4’-tetrachloro-azoksybenzen ≤ 1 ppm <br>Nie stosować w paście do zębów przeznaczonej dla dzieci poniżej 6 lat.","W przypadku pasty do zębów zawierającej Triclocarban obowiązkowe jest następujące oznakowanie: <br>»Nie stosować dla dzieci poniżej 6 lat«."
"24","Chlorokrezol","p-Chloro-m-Cresol","59-50-7","200-431-6","Nie stosować w produktach stosowanych na błony śluzowe","0,2 %",,
"25","5-chloro-2-(2,4-dichlorofenoksy)fenol (22)","Triclosan","3380-34-5","222-182-2","Pasty do zębów <br>Mydła do rąk <br>Mydła do kąpieli/żele pod prysznic <br>Dezodoranty (inne niż w aerozolu) <br>Pudry do twarzy i korektory <br>Produkty do czyszczenia paznokci u dłoni i stóp przed użyciem preparatów do sztucznych paznokci","0,3 %","Nie stosować w paście do zębów przeznaczonej dla dzieci poniżej 3 lat.","W przypadku pasty do zębów zawierającej Triclosan obowiązkowe jest następujące oznakowanie: <br>»Nie stosować dla dzieci poniżej 3 lat«."
"26","Chloroksylenol","Chloroxylenol","88-04-0","201-793-8",,"0,5 %",,
"27","N,N''-metylenobis[N'-[3-(hydroksymetylo)-2,5-dioksoimidazolidyn-4-ylo]mocznik]","Imidazolidinyl urea","39236-46-9","254-372-6",,"0,6 %",,
"28","Chlorowodorek poli(heksametylenobiguanidu)","Polyaminopropyl biguanide","32289-58-0, 27083-27-8, 28757-47-3, 133029-32-0","608-723-9 608-042-7",,"0,1 %","Nie do zastosowań, które mogąprowadzić do narażenia płuc użytkownika końcowego na kontakt poprzez wdychanie",
"29","2-fenoksyetanol","Phenoxyethanol","122-99-6","204-589-7",,"1,0 %",,
"30","Metenamina","Methenamine","100-97-0","202-905-8",,"0,15 %",,
"32","1-(4-chlorofenoksy)-1-(1H-imidazolilo)-3,3-dimetylo-2-butanon (20)","Climbazole","38083-17-9","253-775-4","a) Płyny do włosów (21) <br>b) Kremy do twarzy (21) <br>c) Produkty do pielęgnacji stóp (21) <br>d) Szampony spłukiwane (21)","a) 0,2 % (21) <br>b) 0,2 % (21) <br>c) 0,2 % (21) <br>d) 0,5 % (21)",,
"33","1,3-bis(hydroksymetylo)-5,5-dimetyloimidazolidyno-2,4-dion","DMDM Hydantoin","6440-58-0","229-222-8",,"0,6 %",,
"34","Alkohol benzylowy (7)","Benzyl Alcohol","100-51-6","202-859-9",,"1,0 %",,
"35","1-hydroksy-4-metylo-6-(2,4,4-trimetylopentylo)- 2-(1H) pirydynon i jego sól 2-aminoetanolowa","1-Hydroxy-4-methyl-6-(2,4,4-trimethylpentyl) 2-pyridon, Piroctone Olamine","50650-76-5,68890-66-4","272-574-2","a) Produkty spłukiwane <br>b) Inne produkty","a) 1,0 % <br>b) 0,5 %",,
"37","2,2'-metylenobis(6-bromo-4-chlorofenol)","Bromochlorophene","15435-29-7","239-446-8",,"0,1 %",,
"38","4-izopropylo-m-krezol","o-Cymen-5-ol","3228-02-2","221-761-7",,"0,1 %",,
"39","Mieszanina 5-chloro-2-metylo-3(2H)-izotiazolonu i 2-metylo-2H-izotiazol-3-onu","Methylchloroisothiazolinone (oraz) methylisothiazolinone (17)","26172-55-4, 2682-20-4, 55965-84-9","247-500-7, 220-239-6","Produkty spłukiwane","0,0015 % (mieszaniny 5-chloro-2-metylo-3(2H)-izotiazolonu i 2-metylo-3(2H)-izotiazolonu w stosunku 3:1)",,
"42","N,N""-bis(4-chlorofenylo)-3,12-diimino-2,4,11,13- tetraazatetradekanodiamidina i jej diglikonian, dioctan i dichlorowodorek","Chlorhexidine, Chlorhexidine Diacetate, Chlorhexidine Digluconate, Chlorhexidine Dihydrochloride","55-56-1, 56-95-1, 18472-51-0, 3697-42-5","200-238-7, 200-302-4, 242-354-0, 223-026-6",,"0,3 % (chlorheksydyna)",,
"43","1-fenoksypropan-2-ol (8)","Phenoxyisopropanol","770-35-4","212-222-7","Tylko w produktach spłukiwanych","1,0 %",,
"44","bromek i chlorek alkilo (C 12-22) trimetylo-amonowe","Behentrimonium chloride (15) <br>cetrimonium bromide <br>cetrimonium chloride (16), <br>laurtrimonium bromide, <br>laurtrimonium chloride, <br>steartrimonium bromide, <br>steartrimonium chloride (16)","17301-53-0 <br>57-09-0 <br>112-02-7 <br>1119-94-4 <br>112-00-5 <br>1120-02-1 <br>112-03-8","241-327-0 <br>200-311-3 <br>203-928-6 <br>214-290-3 <br>203-927-0 <br>214-294-5 <br>203-929-1",,"0,1 %",,
"45","4,4–dimetylo-1,3-oksazolidyna","Dimethyl Oxazolidine","51200-87-4","257-048-2",,"0,1 %","pH > 6",
"46","N-[1,3-bis(hydroksymetylo)-2,5-diokso-4-imidazolidynylo]-N,N′-bis(hydroksymetylo) mocznik","Diazolidinyl Urea","78491-02-8","278-928-2",,"0,5 %",,
"47","Benzenokarboksymidamid, 4,4'-(1,6-heksanodiylobis(oksy))bis-i jego sole (łącznie z izotionianem i p-hydroksybenzoesanem)","Hexamidine, Hexamidine diisethionate, Hexamidine paraben","3811-75-4, 659-40-5, 93841-83-9","211-533-5, 299-055-3",,"0,1 %",,
"48","Glutaraldehyd (pentan-1,5-dial)","Glutaral","111-30-8","203-856-5",,"0,1 %","Nie stosować w produktach aerozolowych","Zawiera aldehyd glutarowy (9)"
"49","5-etylo-3,7-dioksa-1-azabicyklo [3.3.0] oktan","7-Ethylbicyclooxazolidine","7747-35-5","231-810-4",,"0,3 %","Nie stosować w produktach do jamy ustnej i produktach stosowanych na błony śluzowe",
"50","3-(4-chlorofenoksy)propan-1,2-diol","Chlorphenesin","104-29-0","203-192-6",,"0,3 %",,
"51","N-(hydroksymetylo) glicynian sodu","Sodium hydroxymethylglycinate","70161-44-3","274-357-8",,"0,5 %","Nie stosować, chyba że można wykazać, że niezależnie od źródła maksymalne teoretyczne stężenie uwalnianego formaldehydu w mieszaninie wprowadzanej do obrotu jest < 0,1 % w/w.",
"52","Chlorek srebra osadzony na dwutlenku tytanu","Silver chloride","7783-90-6","232-033-3",,"0,004 % (w przeliczeniu na chlorek srebra)","20 % AgCl (w/w) na TiO<sub>2</sub>. Nie stosować w produktach dla dzieci poniżej 3 lat, w produktach do jamy ustnej i produktach do oczu i warg",
"53","Chlorek N,N-dimetylo-N-[2-[2-[4-(1,1,3,3,-tetrametylobutylo)fenoksy]etoksy]etylo]-benzenometanoaminiowy","Benzethonium Chloride","121-54-0","204-479-9","a) Produkty spłukiwane <br>b) Produkty niespłukiwane inne niż produkty do jamy ustnej","0,1 %",,
"54","Chlorek, bromek i sacharynian benzalkonium (10)","Benzalkonium chloride <br>Benzalkonium bromide <br>Benzalkonium saccharinate","8001-54-5, 63449-41-2, 91080-29-4, 68989-01-5, 68424-85-1, 68391-01-5, 61789-71-7, 85409-22-9","264-151-6, 293-522-5, 273-545-7, 270-325-2, 269-919-4, 263-080-8, 287-089-1",,"0,1 % (w przeliczeniu na chlorek benzalkonium)",,"Unikać kontaktu z oczami"
"55","Metanol, (fenylometoksy)","Benzylhemiformal","14548-60-8","238-588-8","Produkty spłukiwane","0,15 %",,
"56","Butylokarbaminian 3-jodo-2-propynylowy","Iodopropynyl butylcarbamate","55406-53-6","259-627-5","a) Produkty spłukiwane <br>b) Produkty niespłukiwane <br>c) Dezodoranty i środki przeciwpotowe","a) 0,02 % <br>b) 0,01 % <br>c) 0,0075 %","Nie stosować w produktach do jamy ustnej i warg <br>a) Nie stosować w produktach dla dzieci poniżej 3 lat, z wyjątkiem produktów do kąpieli/żelu pod prysznic i szamponu <br>b) Nie stosuje się w emulsjach do ciała i kremach do ciała (13) <br>b) i c) Nie stosować w produktach dla dzieci poniżej 3 lat","a) Nie stosować w produktach dla dzieci poniżej 3 lat (11) <br>b) i c) Nie stosować w produktach dla dzieci poniżej 3 lat (12)"
"57","2-metylo-2H-izotiazol-3-on","Methylisothiazolinone (18)","2682-20-4","220-239-6","Produkty spłukiwane","0,0015 %",,
"58","Chlorowodorek Ν- alfa-dodekanoilo-L- argininianu etylu (14)","Ethyl Lauroyl Arginate HCl","60372-77-2","434-630-6","a) płyny do płukania ust <br>b) inne produkty","a) 0,15 % <br>b) 0,4 %","a) Nie stosować w preparatach dla dzieci poniżej 10 lat <br>b) Nie stosować w produktach do warg, produktach do jamy ustnej (innych niż płyny do płukania ust) i produktach aerozolowych","a) Nie stosować w produktach dla dzieci poniżej 10 lat"
"59","Kwas 2-hydroksy-1,2,3-propanotrikarboksylowy, jednowodny i sól srebrowa(1+) kwasu 2-hydroksy-1,2,3-propanotrikarboksylowego, jednowodna","Citric acid (oraz) Silver citrate","—","460-890-5",,"0,2 %, co odpowiada 0,0024 % srebra","Nie stosować w produktach do jamy ustnej i produktach do oczu",
"60","4-(3-etoksy-4-hydroksyfenylo)butan-2-on","Hydroxyethoxyphenyl Butanone","569646-79-3","933-435-8",,"0,7 %",,
