"Numer porz? dkowy","Określenie substancji","Warunki","Określenie warunków stosowania i ostrzeżeń"
"Nazwa chemiczna/INN/XAN","Nazwa w glosariuszu wspólnych nazw składników","Nr CAS","Nr WE","Rodzaj produktu, części ciała","Maksymalne stężenie w preparacie gotowym do użycia","Inne"
"a","b","c","d","e","f","g","h","i"
"▼M26"
"23","2,2′-metyleno-bis(6(2H-benzotriazol-2-ilo)-4-(1,1,3,3-tetrametylo-butylo)fenol)/Bisoctrizole","Methylene Bis-Benzotriazolyl Tetramethylbutylphenol","103597-45-1","403-800-1","","10 % (5)","",""
"▼M26"
"23a","2,2′-metyleno-bis(6(2H-benzotriazol-2-ilo)-4-(1,1,3,3-tetrametylo-butylo)fenol)/Bisoctrizole","Methylene Bis-Benzotriazolyl Tetramethylbutylphenol (nano)","103597-45-1","403-800-1","","10 % (5)","Nie do zastosowań, które mog? prowadzić do narażenia płuc użytkownika końcowego na kontakt poprzez wdychanie. Dozwolone s? jedynie nanomateriały o następuj? cych właściwościach: — czystość ≥ 98,5 %, z frakcj? izomeru 2,2′-metyleno-bis-(6(2H-benzotriazol-2-ilo)-4-(izooktylo)fenolu) nieprzekraczaj? c? 1,5 %, — rozpuszczalność w wodzie w temperaturze 25 °C: < 5 ng/l, — współczynnik podziału (log Pow): 12,7 w temperaturze 25 °C, — niepowlekane, — średnia wielkość cz? stek D50 (50 % udziału ilościowego poniżej tej średnicy): ≥ 120 nm w rozkładzie masy cz? steczkowej lub ≥ 60 nm w liczbowym rozkładzie wielkości cz? stek.",""
"▼B"
"24","Sól sodowa kwasu 2-2’-bis(1,4-fenyleno)1H-benzimidazolo-4,6- disulfonowego/Bisdisulizole disodium (USAN)","Disodium Phenyl Dibenzimidazole Tetrasulfonate","180898-37-7","429-750-0","","10 % (w przeliczeniu na kwas)","",""
"25","2,2'-(6-(4-metoksyfenylo)-1,3,5-triazyno-2,4-diilo)bis(5-((2-etyloheksylo)oksy)fenol)/Bemotrizinol","Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine","187393-00-6","","","10 %","",""
"26","Dimetikodietylobenzylidenomalonian","Polysilicone-15","207574-74-1","426-000-4","","10 %","",""
"▼M40"
"27","Ditlenek tytanu (2)","Titanium Dioxide","13463-67-7/1317-70-0/1317-80-2","236-675-5/215-280-1/215-282-2","","25 % (4)","Ditlenek tytanu w postaci proszku o zawartości co najmniej 1 % cz? stek o średnicy aerodynamicznej ≤ 10 μm, do stosowania zgodnie z zał? cznikiem III nr 321. W odniesieniu do rodzajów produktów określonych w zał? czniku III nr 321 w kolumnie (f) lit. c) zastosowanie ma maksymalne stężenie w preparacie gotowym do użycia podane w kolumnie (g) w tej pozycji.",""
"▼M34"
"27a","Ditlenek tytanu (6)","Ditlenek tytanu (nanocz? steczki)","13463-67-7/1317-70-0/1317-80-2","236-675-5/215-280-1/215-282-2","","25 % (4)","Nie do zastosowań, które mog? prowadzić do narażenia płuc użytkownika końcowego poprzez wdychanie. Dozwolone s? jedynie nanomateriały o następuj? cych właściwościach: — czystość ≥ 99 %, — postać rutylu lub rutyl o zawartości do 5 % anatazu, struktura krystaliczna i wygl? d fizyczny w postaci skupisk o sferycznym, pręcikowym lub lancetowatym kształcie, — średni rozmiar cz? stek oparty na liczbowym rozkładzie wielkości ≥ 30 nm, — format obrazu od 1 do 4,5, a powierzchnia właściwa przypadaj? ca na objętość ≤ 460 m2/cm3, — powlekany krzemionk? , krzemionk? uwodnion? , tlenkiem glinu, wodorotlenkiem glinu, stearynianem glinu, kwasem stearynowym, trimetoksykaprylilosilanem, gliceryn? , dimetykonem, dimetykonem wodorowym, simetykonem, lub powlekany jednym z następuj? cych poł? czeń: — krzemionka o maksymalnym stężeniu 16 % i fosforan cetylu o maksymalnym stężeniu 6 %, — tlenek glinu o maksymalnym stężeniu 7 % i ditlenek manganu o maksymalnym stężeniu 0,7 % (nie stosować w produktach do warg), — tlenek glinu o maksymalnym stężeniu 3 % i trietoksykaprylilosilan o maksymalnym stężeniu 9 %, — działalność fotokatalityczna ≤ 10 % w porównaniu z odpowiednimi substancjami referencyjnymi niepowleczonymi lub pozbawionymi domieszek, — nanocz? steczki s? fotostabilne w produkcie końcowym.","W przypadku produktów do twarzy zawieraj? cych ditlenek tytanu (nanocz? steczki) powlekany poł? czeniem tlenku glinu i dwutlenku manganu: Nie stosować na wargi."
"▼M1"
"28","Ester heksylowy kwasu 2-[4-(dietyloamino)-2-hydroksybenzoilo] benzoesowego","Diethylamino Hydroxybenzoyl Hexyl Benzoate","302776-68-7","443-860-6","","10 %","",""
"▼M6"
"29","2,4,6-tris[1,1′-bifenylo-4-ylo-1,3,5-triazyna, w tym jako nanomateriał","Tris-biphenyl triazine Tris-biphenyl triazine (nano)","31274-51-8","—","","10 %","Nie stosować w produktach aerozolowych. Dozwolone s? jedynie nanomateriały o następuj? cych właściwościach: — mediana cz? stek podstawowych > 80 nm, — czystość ≥ 98 %, — niepowlekane",""
"▼M12"
"30","Tlenek cynku","Zinc Oxide","1314-13-2","215-222-5","","25 % (3)","Nie do zastosowań, które mog? prowadzić do narażenia płuc użytkownika końcowego na kontakt poprzez wdychanie",""
"30a","Tlenek cynku","Zinc Oxide (nano)","1314-13-2","215-222-5","","25 % (3)","Nie do zastosowań, które mog? prowadzić do narażenia płuc użytkownika końcowego na kontakt poprzez wdychanie Dozwolone s? jedynie nanomateriały o następuj? cych właściwościach: — czystość ≥ 96 % z wurcytow? struktur? krystaliczn? i wygl? dem fizycznym w postaci klasterów o kształtach pręcikowych, gwiaździstych lub izometrycznych, z zanieczyszczeniami składaj? cymi się jedynie z dwutlenku węgla i wody, podczas gdy pozostałe zanieczyszczenia stanowi? mniej niż 1 % całości, — mediana średnicy liczbowego rozkładu wielkości cz? stek D50 (50 % udziału ilościowego poniżej tej średnicy) > 30 nm i D1 (1 % poniżej tej wielkości) > 20 nm, — rozpuszczalność w wodzie < 50 mg/l, — niepowlekane b? dź powlekane trietoksykaprylilosilanem, dimetykonem, usieciowanym polimerem dimetoksydifenylosilanu-trietoksykaprylilosilanu lub trietoksysilanem oktylu.",""
"▼M29"
"31","3,3′-(1,4-fenyleno)bis(5,6-difenylo-1,2,4-triazyna)","Fenyleno-bis-difenylotriazyna","55514-22-2","700-823-1","","5 %","Nie do zastosowań, które mog? prowadzić do narażenia płuc użytkownika końcowego na kontakt poprzez wdychanie.",""
"▼M39"
"32","(2Z)-2-cyjano-2-[3-(3-metoksypropyloamino)cykloheks-2-eno-1-ylideno]octan 2-etoksyetylu","Methoxypropylamino Cyclohexenylidene Ethoxyethylcyanoacetate","1419401-88-9","700-860-3","","3 %","— Nie do zastosowań, które mog? prowadzić do narażenia płuc użytkownika końcowego na kontakt poprzez wdychanie — Nie używać z czynnikami nitrozuj? cymi – maksymalna zawartość nitrozoaminy: 50 μg/kg — Przechowywać w pojemnikach niezawieraj? cych azotynów",""
"▼M47"
"33","1,1’-(1,4-piperazynodiylo)bis[1-[2-[4-(dietyloamino)-2-hydroksybenzoilo]fenylo]-metanon","Bis-(Diethylaminohydroxybenzoyl Benzoyl) Piperazine","919803-06-8","485-100-6","","10 % (10)","",""
"34","1,1’-(1,4-piperazynodiylo)bis[1-[2-[4-(dietyloamino)-2-hydroksybenzoilo]fenylo]-metanon","Bis-(Diethylaminohydroxybenzoyl Benzoyl) Piperazine (nano)","919803-06-8","485-100-6","","10 % (10)","Dozwolone s? jedynie nanomateriały o następuj? cych właściwościach: — czystość ≥ 97 % — średnia wielkość cz? stek D50 (50 % udziału ilościowego poniżej tej średnicy): ≥ 50 nm w liczbowym rozkładzie wielkości cz? stek. Nie do zastosowań, które mog? prowadzić do narażenia płuc użytkownika końcowego na kontakt poprzez wdychanie.",""
